UTC_Seconds_Of_Day,Latitude(deg),Longitude(deg),WGS84_Ellipsoid_Height(m),South-to-North_Slope,West-to-East_Slope,RMS_Fit(cm),Number_Of_ATM_Measurments_Used,Number_Of_ATM_Measurements_Removed,Distance_Of_Block_To_The_Right_Of_Aircraft(m),Track_Identifier
54985.25,69.240028,310.361369,262.1952,0.1064595,0.0510322,382.27,1699,71,0,0
54985.5,69.239547,310.358697,235.148,0.1721187,0.2505036,505.33,3294,23,112,1
54985.5,69.239659,310.360981,256.6978,0.1168824,0.0769569,502.75,1889,45,21,2
54985.5,69.239771,310.363266,259.453,0.1027879,0.0420396,412.67,3243,25,-70,3
54985.5,69.239685,310.361502,258.6962,0.1036181,0.0300619,463.67,1631,59,0,0
54985.75,69.239212,310.358985,231.4374,0.1833517,0.2593472,403.86,3436,29,105,1
54985.75,69.239322,310.361226,252.3985,0.1222161,0.0652617,544.48,1845,41,16,2
54985.75,69.239432,310.363466,256.4499,0.0640175,0.0560943,441.15,3254,22,-73,3
54985.75,69.239342,310.361636,253.6941,0.1078887,0.0524655,541.51,1618,48,0,0
54986,69.238871,310.359133,227.2027,0.166615,0.2950535,322.2,3415,67,105,1
54986,69.238981,310.36139,248.5829,0.1141015,0.0579192,674.63,1863,18,15,2
54986,69.239092,310.363647,254.5762,0.0560133,0.0696071,453.9,3304,14,-75,3
54986,69.239,310.361769,249.4688,0.1490147,0.1058947,609.44,1596,28,0,0
54986.25,69.23853,310.359279,222.9906,0.1618679,0.3244076,355.1,3284,84,104,1
54986.25,69.238641,310.36156,245.3148,0.0957558,0.0500595,671.09,1981,12,14,2
54986.25,69.238753,310.363842,253.4185,0.0295496,0.0257758,428.63,3356,27,-77,3
54986.25,69.238658,310.361902,245.6361,0.1259422,0.1357897,593.05,1691,18,0,0
54986.5,69.238189,310.359418,218.6087,0.1500436,0.3317946,375.48,3290,81,104,1
54986.5,69.238301,310.361713,242.1518,0.0683042,0.1117647,699.82,1999,12,13,2
54986.5,69.238413,310.364007,252.0861,0.0481935,0.0513581,476.79,3394,25,-78,3
54986.5,69.238317,310.362035,242.8791,0.0563973,0.1830188,571.97,1690,17,0,0
54986.75,69.23785,310.359591,215.3723,0.1569246,0.319076,390.43,3303,85,103,1
54986.75,69.237963,310.361898,239.4344,0.1022555,0.1754888,684.38,2056,14,11,2
54986.75,69.238075,310.364206,249.3205,0.0868181,0.0661681,450.8,3375,38,-81,3
54986.75,69.237976,310.362168,240.8058,0.0603362,0.2152744,483.3,1728,41,0,0
54987,69.237513,310.359775,211.8128,0.1330428,0.3102741,362.89,3362,83,100,1
54987,69.237625,310.362092,236.3724,0.1189872,0.2287891,460.85,2019,70,8,2
54987,69.237738,310.364409,247.0597,0.0889876,0.0656789,465.68,3363,27,-84,3
54987,69.237635,310.3623,238.4371,0.1064738,0.2130174,431.6,1745,44,0,0
54987.25,69.237177,310.359984,208.9273,0.135903,0.3053422,323.44,3479,88,97,1
54987.25,69.237291,310.362334,234.0538,0.1545447,0.2304328,370.68,1948,91,4,2
54987.25,69.237405,310.364684,244.2292,0.0969031,0.1020725,417,3222,55,-90,3
54987.25,69.237295,310.362431,235.5126,0.1600811,0.2179221,340.37,1664,66,0,0
54987.5,69.236837,310.36012,205.7814,0.1548192,0.3395431,310.52,3340,170,97,1
54987.5,69.236951,310.362476,229.3534,0.1469963,0.2050105,354.32,1944,76,3,2
54987.5,69.237065,310.364833,241.174,0.067673,0.1438987,469.44,3292,0,-90,3
54987.5,69.236956,310.362562,230.4196,0.1554326,0.1963375,319.66,1669,60,0,0
54987.75,69.2365,310.36028,203.4551,0.1674156,0.4048162,382.22,3347,97,96,1
54987.75,69.236613,310.362628,225.5394,0.122589,0.1688693,409.14,1868,46,3,2
54987.75,69.236726,310.364976,238.4097,0.0989218,0.1751912,543,3355,0,-91,3
54987.75,69.236616,310.362692,226.2353,0.1202587,0.1673478,392.62,1599,31,0,0
54988,69.236163,310.360429,199.6558,0.1944706,0.4504733,408.67,3265,132,95,1
54988,69.236277,310.362812,223.0077,0.089751,0.1359978,460.98,1805,76,0,2
54988,69.236391,310.365196,234.6199,0.1538564,0.1543459,576.91,3329,0,-94,3
54988,69.236277,310.362822,223.5427,0.0760458,0.1399138,417.99,1501,82,0,0
54988.25,69.235821,310.360486,193.4899,0.208659,0.4543669,399.58,3165,131,98,1
54988.25,69.235936,310.362899,218.6568,0.0990211,0.1907465,565.75,1778,60,2,2
54988.25,69.236051,310.365311,229.5567,0.1887021,0.1549089,523.39,3433,0,-94,3
54988.25,69.235939,310.36295,219.655,0.0901795,0.1925508,547.51,1456,69,0,0
54988.5,69.235479,310.360502,186.6499,0.1817267,0.4422997,416.89,3044,110,102,1
54988.5,69.235595,310.36296,214.1417,0.1374975,0.2200371,647.79,1815,18,5,2
54988.5,69.235711,310.365417,224.4247,0.1643391,0.1172995,496.17,3474,0,-93,3
54988.5,69.235601,310.363078,215.3617,0.1460817,0.24735,667.61,1465,13,0,0
54988.75,69.235139,310.360582,180.285,0.1670496,0.4094435,357.11,2994,153,104,1
54988.75,69.235256,310.363059,210.0818,0.1483629,0.226979,647.95,1787,20,6,2
54988.75,69.235372,310.365535,219.0118,0.1321025,0.0950714,396.74,3437,8,-93,3
54988.75,69.235263,310.363205,211.3874,0.1462706,0.2508467,677.9,1428,13,0,0
54989,69.2348,310.360654,173.9056,0.1977179,0.3714108,348.99,3033,82,106,1
54989,69.234916,310.363131,204.3191,0.1759694,0.1898609,604.04,1749,38,8,2
54989,69.235032,310.365608,213.9512,0.1462822,0.0998684,417.93,3426,10,-91,3
54989,69.234925,310.363331,206.7862,0.1684367,0.1264407,583.99,1363,45,0,0
54989.25,69.234463,310.360759,167.7056,0.2395213,0.356886,283.09,2958,98,107,1
54989.25,69.234578,310.363247,197.8741,0.2003061,0.1472548,667.83,1748,12,8,2
54989.25,69.234694,310.365734,208.5081,0.1626064,0.1291464,508.75,3364,4,-91,3
54989.25,69.234588,310.363456,200.7785,0.1787498,0.0319102,569.64,1356,24,0,0
54989.5,69.234125,310.360852,159.4291,0.2477687,0.3358705,320.95,3014,44,108,1
54989.5,69.234243,310.363392,190.612,0.2498137,0.1045911,698.79,1693,5,8,2
54989.5,69.23436,310.365931,201.4553,0.2159119,0.1382657,522.28,3259,1,-93,3
54989.5,69.234251,310.36358,193.7615,0.2413093,-0.0565179,487.27,1296,28,0,0
54989.75,69.233787,310.360924,150.2676,0.2732457,0.3194405,338.24,2909,51,110,1
54989.75,69.233906,310.363511,181.3455,0.2589578,0.0894263,681.16,1635,3,8,2
54989.75,69.234025,310.366097,193.6946,0.2617257,0.1304151,495.53,3181,0,-95,3
54989.75,69.233915,310.363704,184.0954,0.2529136,-0.0451662,526.66,1235,8,0,0
54990,69.233451,310.361028,141.2196,0.2889492,0.3136341,342.25,2849,56,111,1
54990,69.233571,310.363649,171.2582,0.2986002,0.0973842,663.34,1605,5,7,2
54990,69.23369,310.36627,185.4947,0.272286,0.1410729,499.55,3107,0,-97,3
54990,69.233579,310.363826,173.1854,0.3127901,0.030728,590.21,1193,8,0,0
54990.25,69.233115,310.361125,132.0382,0.2818886,0.3207145,400.84,2805,58,112,1
54990.25,69.233234,310.363756,159.5453,0.3463201,0.1211355,583.33,1578,1,8,2
54990.25,69.233353,310.366387,176.8215,0.2129047,0.1494248,437.89,3088,6,-97,3
54990.25,69.233243,310.363947,160.5142,0.3661325,0.1362089,560.44,1183,2,0,0
54990.5,69.232779,310.361218,122.7584,0.264451,0.3158885,413.11,2671,44,113,1
54990.5,69.232899,310.363886,148.5031,0.3365578,0.1572933,579.92,1605,54,7,2
54990.5,69.233019,310.366555,171.1363,0.1549862,0.1568817,472.46,3069,16,-99,3
54990.5,69.232907,310.364068,148.8204,0.3476028,0.2465511,518.57,1195,35,0,0
54990.75,69.232441,310.36126,112.4831,0.2786084,0.3011485,421.48,2527,29,116,1
54990.75,69.232562,310.36396,138.192,0.286063,0.2332276,693.17,1727,1,9,2
54990.75,69.232683,310.36666,167.4797,0.0701969,0.1949546,513.5,3031,31,-98,3
54990.75,69.232572,310.364187,138.3594,0.2996644,0.3145741,509.49,1237,35,0,0
54991,69.232106,310.361353,102.4238,0.3008973,0.2755919,432.16,2560,12,117,1
54991,69.232227,310.364063,129.0172,0.2404551,0.2669493,650.97,1813,0,10,2
54991,69.232347,310.366774,165.1049,0.0480549,0.2054197,504.17,3047,43,-98,3
54991,69.232237,310.364306,129.4797,0.2177798,0.3406503,409.39,1294,60,0,0
54991.25,69.231772,310.361475,94.0738,0.256825,0.2644274,428.8,2654,21,117,1
54991.25,69.231893,310.364195,122.9743,0.1921091,0.325192,582.46,1802,26,9,2
54991.25,69.232013,310.366915,163.3626,0.0706938,0.2139255,538.02,3121,37,-99,3
54991.25,69.231903,310.364424,124.2728,0.1668354,0.3500893,417.94,1316,47,0,0
54991.5,69.231439,310.361598,86.7259,0.1837636,0.2673271,418.73,2896,17,117,1
54991.5,69.231561,310.364365,118.6718,0.1068635,0.3212293,430.1,1857,47,7,2
54991.5,69.231683,310.367131,163.4324,0.0822546,0.2120805,575.61,3157,29,-103,3
54991.5,69.231569,310.364541,120.1063,0.1052789,0.3437194,393.15,1364,25,0,0
54991.75,69.231106,310.361715,82.5824,0.1005495,0.2799986,465.14,3091,23,117,1
54991.75,69.231227,310.364482,116.7531,0.0708781,0.3543984,436.72,1899,40,7,2
54991.75,69.231349,310.367249,160.9617,0.0713347,0.215519,602.12,3316,14,-103,3
54991.75,69.231235,310.364658,118.4496,0.0714937,0.3516621,436.32,1371,30,0,0
54992,69.230774,310.36183,83.0133,-0.0087387,0.2802229,594.47,3195,0,117,1
54992,69.230894,310.364597,117.1781,0.0190198,0.3519527,524.75,1898,31,7,2
54992,69.231014,310.367365,158.7664,0.0836118,0.2181192,588.84,3401,19,-103,3
54992,69.230902,310.364774,118.8368,0.011725,0.3488368,543.79,1378,17,0,0
54992.25,69.230441,310.361949,85.51,-0.1004553,0.2964443,471.44,3243,6,117,1
54992.25,69.230562,310.364727,119.2938,-0.0542054,0.3399841,561.39,1945,13,6,2
54992.25,69.230682,310.367505,156.4513,0.1331971,0.2133592,534.42,3403,45,-104,3
54992.25,69.230569,310.364889,120.9093,-0.0645473,0.3341481,570.95,1412,2,0,0
54992.5,69.230111,310.362106,91.0068,-0.1171115,0.3242056,439.42,3332,0,115,1
54992.5,69.230231,310.364903,123.4219,-0.0814013,0.3143523,543.02,1983,6,4,2
54992.5,69.230351,310.367699,153.6114,0.1294176,0.178217,518.1,3417,15,-107,3
54992.5,69.230236,310.365003,124.4202,-0.0889666,0.3213887,527.27,1417,0,0,0
54992.75,69.229784,310.362309,98.5637,-0.1045486,0.3386708,405.16,3436,5,111,1
54992.75,69.229901,310.365074,128.2141,-0.073363,0.2714871,498.42,1978,1,2,2
54992.75,69.230019,310.367839,152.0337,0.0766146,0.1336732,538.22,3399,17,-108,3
54992.75,69.229903,310.365116,128.9342,-0.072214,0.2989097,483.88,1430,0,0,0
54993,69.229454,310.362457,105.2211,-0.1319841,0.3590575,382.84,3447,56,110,1
54993,69.229571,310.365215,132.144,-0.0586439,0.2105751,507.7,2018,2,1,2
54993,69.229687,310.367972,150.2157,0.0566484,0.0857362,463.82,3424,21,-109,3
54993,69.229571,310.365228,132.5839,-0.0485412,0.2384489,476.89,1452,2,0,0
54993.25,69.229124,310.362599,112.1037,-0.165187,0.3371632,421.18,3542,45,109,1
54993.25,69.22924,310.365359,135.5837,-0.0629446,0.1735553,471.21,2041,19,-1,2
54993.25,69.229356,310.36812,148.4093,0.0839288,0.0122516,429.25,3409,47,-110,3
54993.25,69.229239,310.365339,135.6469,-0.0556807,0.2009654,431.35,1458,25,0,0
54993.5,69.228795,310.362761,119.4447,-0.1867204,0.2684763,476.74,3583,50,107,1
54993.5,69.22891,310.365515,138.5493,-0.050283,0.1347735,427.97,2072,21,-3,2
54993.5,69.229025,310.368269,146.8521,0.1092011,-0.0405156,433.04,3340,83,-112,3
54993.5,69.228908,310.36545,138.2388,-0.0432239,0.1499297,401.24,1503,22,0,0
54993.75,69.228468,310.362939,126.7944,-0.1549007,0.2440133,483.17,3618,51,104,1
54993.75,69.228581,310.365666,141.1153,-0.0501592,0.1062375,334.2,2039,52,-4,2
54993.75,69.228694,310.368393,145.5151,0.0255092,-0.072054,503.78,3416,1,-113,3
54993.75,69.228577,310.365559,140.4598,-0.0461313,0.1120367,303.65,1497,53,0,0
54994,69.228139,310.363077,132.9318,-0.1304184,0.208634,429.25,3698,14,103,1
54994,69.228251,310.365792,144.0722,-0.066388,0.1029586,312.48,2083,47,-5,2
54994,69.228363,310.368508,145.0545,-0.0322822,-0.0970493,358.04,3387,34,-113,3
54994,69.228246,310.365668,143.5642,-0.0720215,0.114389,299.23,1558,32,0,0
54994.25,69.227811,310.363229,138.2363,-0.1038153,0.1800773,426.66,3768,17,101,1
54994.25,69.227921,310.365927,147.148,-0.0892574,0.0937135,323.84,2043,56,-6,2
54994.25,69.228031,310.368625,146.4329,-0.0532416,-0.1165926,321.24,3334,65,-113,3
54994.25,69.227915,310.365775,146.9379,-0.0986524,0.1169869,297.38,1525,50,0,0
54994.5,69.227482,310.363334,142.9079,-0.1143358,0.177655,419.82,3794,17,101,1
54994.5,69.227591,310.366031,150.3611,-0.0843111,0.1016892,349.39,2084,52,-6,2
54994.5,69.2277,310.368728,148.9012,-0.0830682,-0.1124085,371.94,3336,32,-113,3
54994.5,69.227585,310.365882,149.9912,-0.0786289,0.1302865,347.8,1555,37,0,0
54994.75,69.227152,310.363441,147.2747,-0.1075083,0.1472799,349.98,3829,39,101,1
54994.75,69.22726,310.366113,153.2962,-0.057796,0.0949387,353.57,2088,61,-5,2
54994.75,69.227367,310.368784,151.6666,-0.1116114,-0.1057338,361.52,3402,9,-111,3
54994.75,69.227255,310.365988,153.0586,-0.0480941,0.1291896,343.58,1576,50,0,0
54995,69.226824,310.363572,150.6096,-0.0819855,0.1186564,354.38,3840,84,100,1
54995,69.22693,310.366228,156.0484,-0.0484121,0.0966992,368.83,2018,69,-5,2
54995,69.227037,310.368884,154.3107,-0.0909342,-0.0858376,452.73,3397,0,-111,3
54995,69.226925,310.366094,155.6886,-0.0402438,0.1341208,372.5,1523,53,0,0
54995.25,69.226492,310.363595,153.6969,-0.0549508,0.1180353,489.5,3825,20,103,1
54995.25,69.226599,310.366278,158.2,-0.0527786,0.0964132,397.93,2150,48,-3,2
54995.25,69.226705,310.368961,156.6871,-0.0480358,-0.0810613,441.36,3396,0,-110,3
54995.25,69.226596,310.366198,157.7872,-0.0524506,0.139644,383.01,1612,48,0,0
54995.5,69.226163,310.363685,156.8947,-0.0776655,0.1068698,564.37,3816,12,104,1
54995.5,69.226268,310.366342,160.1854,-0.0560086,0.0694005,435.77,2055,45,-2,2
54995.5,69.226373,310.368999,158.6276,-0.052852,-0.0567518,432.34,3409,0,-107,3
54995.5,69.226266,310.366302,159.7247,-0.0391204,0.1264638,413.39,1535,44,0,0
54995.75,69.225834,310.363776,159.5324,-0.0951732,0.0808866,621.94,3757,19,104,1
54995.75,69.225939,310.366428,162.0368,-0.0320127,0.0567931,499.85,2061,37,-1,2
54995.75,69.226043,310.36908,160.143,-0.0608424,-0.0303418,468.52,3366,0,-106,3
54995.75,69.225938,310.366405,161.424,-0.0165284,0.1235043,479.65,1534,33,0,0
54996,69.225504,310.36382,161.3154,-0.0684499,0.0428659,645.19,3714,15,107,1
54996,69.225607,310.366454,162.9354,-0.0139423,0.0376319,508.78,2056,26,2,2
54996,69.22571,310.369088,161.9868,-0.0569427,-0.0368017,479.88,3344,0,-102,3
54996,69.225609,310.366507,162.5146,-0.0067787,0.1185107,471.1,1555,20,0,0
54996.25,69.225172,310.36381,161.6386,0.0327942,0.0135697,568.31,3679,14,111,1
54996.25,69.225275,310.366465,164.171,-0.0185826,0.0104565,487.88,2007,28,6,2
54996.25,69.225378,310.36912,163.7967,-0.0406537,0.0030025,484.16,3346,1,-100,3
54996.25,69.225281,310.366608,163.2794,-0.0173992,0.0865983,463.58,1492,22,0,0
54996.5,69.224842,310.363843,160.4871,0.0826654,0.0302423,539.36,3671,23,114,1
54996.5,69.224944,310.366488,164.0552,0.0077828,0.0048974,483.07,1979,28,9,2
54996.5,69.225046,310.369132,164.8507,-0.0404614,0.0410468,470.58,3403,1,-96,3
54996.5,69.224953,310.366709,163.5409,0.0086213,0.0693485,451.51,1481,28,0,0
54996.75,69.224514,310.363932,158.6088,0.0737011,0.0371394,474.04,3706,37,114,1
54996.75,69.224615,310.366554,163.7428,0.0196789,0.0087632,400.45,1984,16,10,2
54996.75,69.224715,310.369175,165.143,-0.0110911,0.0540213,461.66,3426,1,-94,3
54996.75,69.224625,310.366809,163.5611,0.0163265,0.0414469,361.94,1524,16,0,0
54997,69.224185,310.363974,156.2362,0.04853,0.0607938,402.12,3719,42,116,1
54997,69.224285,310.366585,163.3562,0.0283178,0.0065493,396.15,1993,10,13,2
54997,69.224384,310.369195,165.7023,0.0160683,0.0470616,428.16,3489,0,-91,3
54997,69.224297,310.366909,163.2237,0.0209642,0.0311413,351.08,1521,12,0,0
54997.25,69.223856,310.364025,155.278,0.0221638,0.0634507,406.66,3666,22,118,1
54997.25,69.223955,310.366614,161.6467,0.0317096,0.0439897,360.69,2060,18,16,2
54997.25,69.224053,310.369204,165.8158,0.000533,0.0453725,433.06,3528,0,-87,3
54997.25,69.22397,310.367008,162.1862,0.0177529,0.0396108,306.4,1598,16,0,0
54997.5,69.223527,310.364058,154.0428,0.0453964,0.0738853,401.29,3615,12,121,1
54997.5,69.223625,310.366656,161.7408,-0.0005855,0.063465,393.57,2044,22,18,2
54997.5,69.223724,310.369254,165.8712,-0.0213209,0.0496077,399.78,3553,0,-85,3
54997.5,69.223642,310.367107,162.9897,-0.0171619,0.0243352,351.57,1607,0,0,0
54997.75,69.2232,310.364156,153.5958,0.028813,0.1067157,435.91,3618,13,121,1
54997.75,69.223298,310.366754,162.9609,-0.0463367,0.0748306,429.47,2055,34,18,2
54997.75,69.223397,310.369352,167.5456,-0.0465382,0.0602287,419.08,3501,18,-85,3
54997.75,69.223315,310.367206,164.2352,-0.0572912,0.0149779,378.98,1624,5,0,0
54998,69.222873,310.364243,153.8274,0.0323272,0.1481678,517.29,3589,3,121,1
54998,69.22297,310.366816,164.5943,-0.0785887,0.1100157,442.81,1997,28,19,2
54998,69.223068,310.36939,169.1516,-0.0510958,0.063119,481.74,3510,32,-83,3
54998,69.222989,310.367304,166.6674,-0.0913391,0.0257643,425.23,1586,16,0,0
54998.25,69.222546,310.364337,154.4109,0.0036351,0.2147564,512.38,3623,17,122,1
54998.25,69.222643,310.366903,166.9809,-0.034737,0.1027011,479.88,2004,9,20,2
54998.25,69.22274,310.369468,171.2357,-0.0622365,0.05734,552.26,3450,40,-82,3
54998.25,69.222662,310.367402,169.2436,-0.0538263,0.0311117,478.07,1562,7,0,0
54998.5,69.22222,310.364431,155.9385,-0.0054937,0.241078,527.27,3674,18,122,1
54998.5,69.222316,310.366984,169.4454,-0.0460093,0.1074227,494.83,1993,10,20,2
54998.5,69.222413,310.369537,173.1959,-0.0349264,0.0365675,590.16,3424,20,-81,3
54998.5,69.222336,310.3675,171.8367,-0.0637658,0.0510337,498.61,1558,8,0,0
54998.75,69.221892,310.364471,156.004,0.0020583,0.2509618,530.24,3664,7,124,1
54998.75,69.221989,310.367043,171.0754,-0.0465442,0.1219532,492.19,1971,6,22,2
54998.75,69.222086,310.369615,174.6912,-0.0296071,0.0104001,581.57,3430,19,-80,3
54998.75,69.22201,310.367597,174.0118,-0.0469662,0.0896909,510.95,1507,3,0,0
54999,69.221564,310.3645,156.212,0.0111376,0.2488482,490.87,3677,12,127,1
54999,69.221661,310.367093,172.8046,-0.0479008,0.1090787,497.88,2010,17,24,2
54999,69.221758,310.369686,176.4726,-0.0407289,0.0230647,534.8,3366,27,-79,3
54999,69.221684,310.367695,175.1887,-0.0363269,0.0510403,513.81,1533,6,0,0
54999.25,69.221237,310.364546,155.987,0.0229805,0.2323995,480.14,3678,6,129,1
54999.25,69.221335,310.36716,174.8236,-0.024347,0.0888021,525.18,1982,27,25,2
54999.25,69.221432,310.369773,178.0891,-0.0523839,0.0277217,449.94,3321,60,-79,3
54999.25,69.221358,310.367791,177.1148,-0.014378,0.0264442,524.2,1512,26,0,0
54999.5,69.220911,310.364618,155.9568,-0.0051051,0.2168822,430.44,3705,16,130,1
54999.5,69.221008,310.367241,175.119,-0.0083726,0.061589,562.03,2047,29,26,2
54999.5,69.221106,310.369865,178.9728,-0.0254422,0.0458574,449.1,3333,50,-78,3
54999.5,69.221033,310.367888,177.0983,0.0001478,-0.0120277,534.75,1570,34,0,0
54999.75,69.22058,310.364582,156.0077,-0.0125512,0.2115413,438.03,3648,17,135,1
54999.75,69.220678,310.367213,174.6382,0.0310127,0.0549937,573.51,2086,31,31,2
54999.75,69.220777,310.369844,179.9057,-0.0126265,0.0877904,445.09,3376,43,-74,3
54999.75,69.220707,310.367984,176.4192,0.0189407,-0.0394164,523.94,1613,42,0,0
55000,69.220254,310.364655,157.7623,-0.0432242,0.2206434,483.91,3580,40,136,1
55000,69.220351,310.367239,173.6828,0.0473933,0.0685434,540.28,2079,29,33,2
55000,69.220447,310.369822,180.1382,-0.0146466,0.086939,500.75,3508,18,-69,3
55000,69.220382,310.368081,175.975,0.0364401,-0.0286351,523.17,1670,30,0,0
55000.25,69.219929,310.364739,159.4788,-0.0364068,0.2031492,490.38,3606,42,136,1
55000.25,69.220024,310.367299,173.1613,0.0210665,0.0812176,527.46,2079,14,35,2
55000.25,69.22012,310.369859,180.1618,-0.0015184,0.0624689,635.35,3577,3,-67,3
55000.25,69.220057,310.368177,175.1097,0.0103507,-0.0222131,479.13,1724,11,0,0
55000.5,69.219604,310.364825,161.0834,-0.0170845,0.2141084,522.67,3587,41,137,1
55000.5,69.219698,310.367363,173.4053,-0.0186353,0.0895394,503.41,2064,16,36,2
55000.5,69.219793,310.369901,180.7246,0.0154286,0.0277706,674.67,3607,2,-65,3
55000.5,69.219732,310.368273,175.3316,-0.0292701,-0.0080098,439.19,1740,10,0,0
55000.75,69.219279,310.364915,163.2012,-0.0154922,0.2170562,545.57,3592,32,137,1
55000.75,69.219373,310.367431,175.1155,-0.0609257,0.0906319,485.04,2010,13,37,2
55000.75,69.219467,310.369947,181.1883,-0.0101371,0.0005655,638.33,3699,1,-63,3
55000.75,69.219408,310.368369,176.7598,-0.05262,-0.0036177,403.8,1733,6,0,0
55001,69.218954,310.36502,164.4107,-0.0265418,0.2039641,573.55,3644,11,137,1
55001,69.219048,310.367532,177.0507,-0.0501739,0.071885,488.47,2027,17,37,2
55001,69.219142,310.370045,181.9277,-0.0407852,-0.0041808,616.57,3626,3,-63,3
55001,69.219083,310.368466,178.0135,-0.0408095,0.015454,378.36,1734,12,0,0
55001.25,69.21863,310.365131,166.7736,-0.07371,0.1791364,607.92,3616,0,136,1
55001.25,69.218724,310.367629,179.3034,-0.052476,0.0401742,470.94,2016,9,37,2
55001.25,69.218818,310.370127,183.9191,-0.0713433,0.0231606,527.19,3609,10,-62,3
55001.25,69.218759,310.368562,180,-0.0413815,0.0320634,399.88,1671,33,0,0
