UTC_Seconds_Of_Day,Latitude(deg),Longitude(deg),WGS84_Ellipsoid_Height(m),South-to-North_Slope,West-to-East_Slope,RMS_Fit(cm),Number_Of_ATM_Measurments_Used,Number_Of_ATM_Measurements_Removed,Distance_Of_Block_To_The_Right_Of_Aircraft(m),Track_Identifier
55001.5,69.218306,310.365234,170.2048,-0.1134889,0.1163158,639.41,3610,0,136,1
55001.5,69.218399,310.36771,181.8548,-0.0573033,0.0127893,439.07,1989,37,38,2
55001.5,69.218492,310.370186,186.8965,-0.1008516,0.0554949,482.04,3536,17,-61,3
55001.5,69.218435,310.368659,182.4962,-0.0640501,0.0910309,440.57,1686,34,0,0
55001.75,69.217982,310.36533,174.3279,-0.1447526,0.0953375,578.6,3616,0,136,1
55001.75,69.218075,310.367804,185.0571,-0.1173258,-0.0034954,463.99,2028,46,38,2
55001.75,69.218168,310.370277,189.7508,-0.0999464,0.0693269,447.83,3446,50,-60,3
55001.75,69.218111,310.368755,185.4365,-0.1002347,0.1001623,410.06,1693,54,0,0
55002,69.217659,310.365436,178.476,-0.0810597,0.1022957,656.53,3625,0,136,1
55002,69.217751,310.367886,189.6046,-0.1495269,-0.0147066,499.75,1986,56,38,2
55002,69.217843,310.370337,193.6674,-0.0842969,0.0590639,436.49,3480,37,-59,3
55002,69.217787,310.368852,189.844,-0.1162886,0.1058435,499.63,1711,25,0,0
55002.25,69.217336,310.365571,181.7952,-0.0410129,0.1083931,707.03,3660,7,134,1
55002.25,69.217427,310.367979,193.3499,-0.1263694,-0.0001382,647.56,2006,13,38,2
55002.25,69.217518,310.370387,197.9453,-0.1094102,0.0696819,424.36,3418,61,-57,3
55002.25,69.217464,310.368949,194.2883,-0.1257978,0.0709559,482.91,1726,55,0,0
55002.5,69.217012,310.365668,183.919,-0.0027853,0.1604075,660.68,3676,12,134,1
55002.5,69.217103,310.368076,199.0932,-0.122972,0.0471652,609.89,2088,33,38,2
55002.5,69.217195,310.370485,202.2614,-0.1491343,0.0895293,433.14,3439,44,-57,3
55002.5,69.21714,310.369046,199.521,-0.1396599,-0.0130692,469.31,1792,55,0,0
55002.75,69.216688,310.365756,186.703,-0.0432691,0.2432662,734.37,3657,3,134,1
55002.75,69.216779,310.368147,203.9817,-0.1489986,0.0595865,569.54,2046,43,40,2
55002.75,69.21687,310.370537,207.3507,-0.1413649,0.0758582,488.68,3460,17,-55,3
55002.75,69.216817,310.369143,204.5752,-0.1390343,-0.0260759,473.93,1802,51,0,0
55003,69.216364,310.36584,190.7401,-0.0802558,0.3072927,720.24,3582,13,135,1
55003,69.216454,310.368212,209.1972,-0.1551638,0.0727352,462.01,2098,55,41,2
55003,69.216545,310.370583,212.3173,-0.1115275,0.067372,496.64,3467,12,-53,3
55003,69.216494,310.369241,209.7929,-0.1585795,-0.0334936,431.55,1861,53,0,0
55003.25,69.21604,310.365934,195.81,-0.1020454,0.3775746,562.04,3508,32,135,1
55003.25,69.216131,310.3683,214.0384,-0.1055761,0.0715577,411.83,2182,23,41,2
55003.25,69.216221,310.370666,216.7857,-0.1077397,0.0549713,520.54,3353,57,-53,3
55003.25,69.216171,310.369339,214.7184,-0.1413251,-0.0419855,403.35,1893,41,0,0
55003.5,69.215717,310.366029,200.9337,-0.0744887,0.4237189,485.72,3494,11,135,1
55003.5,69.215807,310.368386,217.9806,-0.0635258,0.0756591,398.4,2146,44,42,2
55003.5,69.215898,310.370744,220.0632,-0.0824896,0.0310276,526.33,3334,61,-52,3
55003.5,69.215848,310.369437,218.9432,-0.1062273,-0.0331898,435.51,1908,24,0,0
55003.75,69.215393,310.366116,202.8121,0.0016026,0.3816082,530.73,3508,2,136,1
55003.75,69.215483,310.36845,219.2256,-0.0198299,0.0645671,428.58,2213,12,43,2
55003.75,69.215573,310.370784,221.2155,-0.0160522,0.0017155,634.01,3452,6,-50,3
55003.75,69.215525,310.369536,220.7487,-0.019941,-0.0307257,464.13,1983,11,0,0
55004,69.215071,310.366232,203.9844,0.0603398,0.3714956,474.75,3529,7,135,1
55004,69.215161,310.368552,220.5461,-0.0173048,0.0634097,489.89,2203,10,43,2
55004,69.21525,310.370872,224.1003,-0.0741029,0.0466498,790.68,3417,1,-49,3
55004,69.215203,310.369635,222.0045,-0.016871,-0.0042428,577.4,1970,26,0,0
55004.25,69.214747,310.36631,205.2173,0.0159956,0.3964659,586.75,3501,3,136,1
55004.25,69.214835,310.368587,222.8639,-0.0586452,0.0560383,528.27,2179,13,46,2
55004.25,69.214924,310.370864,228.6619,-0.1727376,0.1001567,751.89,3523,12,-45,3
55004.25,69.21488,310.369734,225.2936,-0.0950754,0.0468334,665.21,2019,3,0,0
55004.5,69.214424,310.366404,206.7072,-0.0649095,0.3782972,560.94,3508,1,136,1
55004.5,69.214512,310.368671,224.1898,-0.0799565,0.0364678,466.9,2150,39,46,2
55004.5,69.214601,310.370937,232.9903,-0.1921089,0.1021575,726.37,3561,0,-44,3
55004.5,69.214558,310.369834,227.8286,-0.1361201,0.1396157,576.24,2016,26,0,0
55004.75,69.2141,310.366489,210.5359,-0.1052522,0.3885559,538.3,3497,4,137,1
55004.75,69.214188,310.368722,226.9026,-0.06699,0.0446894,538.7,2113,21,48,2
55004.75,69.214276,310.370956,238.4859,-0.0540518,0.1224698,532.66,3504,100,-41,3
55004.75,69.214236,310.369935,231.8225,-0.0741662,0.1891518,615.65,2027,21,0,0
55005,69.213778,310.366611,212.2929,0.0070912,0.3164804,694.73,3519,1,136,1
55005,69.213865,310.368816,228.9019,-0.0203442,0.0684706,539.28,2105,25,48,2
55005,69.213953,310.371022,240.8973,-0.0149152,0.1050108,436.29,3634,31,-39,3
55005,69.213914,310.370036,234.9892,-0.0218085,0.2166988,460.55,2073,36,0,0
55005.25,69.213454,310.366687,213.3736,0.0350628,0.2876152,659.09,3506,1,137,1
55005.25,69.213542,310.368903,230.1018,-0.0387748,0.0809278,568.43,2159,18,49,2
55005.25,69.213631,310.371119,242.0928,-0.0295385,0.0825382,432.37,3666,51,-39,3
55005.25,69.213592,310.370138,236.6342,-0.0311798,0.2225901,495.18,2117,28,0,0
55005.5,69.213131,310.366783,215.1022,0.0019576,0.2969673,699.88,3463,1,137,1
55005.5,69.213219,310.368986,231.1527,-0.0124346,0.0781973,576.75,2141,8,50,2
55005.5,69.213308,310.371189,242.4136,-0.0139364,0.1156182,404.91,3680,63,-38,3
55005.5,69.21327,310.37024,237.1817,0.0091326,0.1968558,531.39,2135,12,0,0
55005.75,69.212808,310.366883,215.1743,-0.0648246,0.2855216,571.69,3439,13,137,1
55005.75,69.212897,310.369078,231.1535,-0.0010008,0.1039618,568.36,2151,10,50,2
55005.75,69.212986,310.371273,243.2148,-0.0038993,0.0974631,481.06,3692,28,-37,3
55005.75,69.212948,310.370343,238.2396,0.0053949,0.1849444,548.95,2120,14,0,0
55006,69.212486,310.366987,217.468,0.0310206,0.2146943,465.36,3345,152,137,1
55006,69.212575,310.36918,231.9804,0.0242239,0.142734,587.91,2195,6,50,2
55006,69.212665,310.371374,243.6835,-0.0073091,0.1164545,527.2,3707,14,-37,3
55006,69.212627,310.370447,239.1334,0.0025086,0.1323251,563.48,2170,13,0,0
55006.25,69.212166,310.367147,215.5844,0.125821,0.1634672,428.88,3531,68,135,1
55006.25,69.212254,310.3693,230.632,0.0429929,0.1642302,601.69,2140,4,50,2
55006.25,69.212343,310.371454,243.7872,-0.0134165,0.1387711,490.86,3691,15,-36,3
55006.25,69.212306,310.370551,238.5767,-0.0085186,0.1543702,565.38,2176,10,0,0
55006.5,69.211844,310.367265,212.5985,0.1326647,0.1786752,535.58,3641,8,135,1
55006.5,69.211933,310.369417,229.3084,0.0793916,0.2044547,575.75,2203,4,49,2
55006.5,69.212022,310.371568,244.1005,0.0181801,0.09816,537.02,3657,24,-36,3
55006.5,69.211984,310.370656,238.8633,0.0441206,0.1717405,554.51,2234,9,0,0
55006.75,69.211523,310.367378,211.0983,0.0390289,0.1527338,648.46,3652,0,134,1
55006.75,69.211612,310.369526,228.8001,0.0592113,0.2193611,557.47,2216,0,49,2
55006.75,69.211701,310.371675,243.0575,0.0738347,0.0814451,489.23,3606,113,-36,3
55006.75,69.211663,310.370762,238.3704,0.0477952,0.1554795,491.99,2281,4,0,0
55007,69.211201,310.367484,211.2673,-0.0540309,0.1946869,589.98,3621,1,134,1
55007,69.211291,310.369632,227.0576,0.0278137,0.1696661,542.14,2199,5,49,2
55007,69.211381,310.371781,239.8383,0.107564,0.1129075,637.38,3708,35,-36,3
55007,69.211343,310.370868,235.0893,0.1104488,0.136047,604.65,2261,2,0,0
55007.25,69.21088,310.367592,215.4389,-0.122619,0.1864555,638.54,3619,1,134,1
55007.25,69.21097,310.36974,226.7184,0.023906,0.1414725,592.4,2216,21,49,2
55007.25,69.21106,310.371888,238.2439,0.0401204,0.0964677,792.45,3723,7,-36,3
55007.25,69.211022,310.370975,233.9984,0.0688624,0.1196838,773.68,2246,29,0,0
55007.5,69.210561,310.367755,218.2782,-0.076329,0.0903387,619.37,3693,1,132,1
55007.5,69.21065,310.369872,228.3422,-0.0012038,0.2032482,649.61,2176,21,48,2
55007.5,69.21074,310.371989,239.6458,-0.0766533,0.0966617,842.39,3725,0,-36,3
55007.5,69.210701,310.371082,236.3773,-0.0706501,0.1160002,898.25,2269,0,0,0
55007.75,69.210238,310.367837,217.4882,0.049866,0.0618532,765.5,3680,0,133,1
55007.75,69.210328,310.369938,229.2334,-0.0418998,0.2435333,725.95,2133,2,50,2
55007.75,69.210417,310.37204,240.7862,-0.0724608,0.1272533,824.12,3759,0,-34,3
55007.75,69.210381,310.37119,237.5309,-0.1328292,0.0774943,879.62,2304,0,0,0
55008,69.209917,310.367945,218.3584,0.0721102,0.047782,791.63,3667,5,133,1
55008,69.210007,310.370048,230.0461,0.0132998,0.2841377,684.05,2150,17,50,2
55008,69.210098,310.37215,245.219,-0.0936905,0.1166576,738.58,3679,2,-34,3
55008,69.210061,310.371299,241.0355,-0.0343475,0.1443699,852.5,2315,0,0,0
55008.25,69.209595,310.368041,218.7625,-0.05433,0.1017535,767.9,3621,3,134,1
55008.25,69.209685,310.370114,230.5957,0.0331545,0.261697,610.94,2094,14,51,2
55008.25,69.209775,310.372187,246.4544,0.0029375,0.1659117,719.76,3760,0,-31,3
55008.25,69.209741,310.371409,241.5749,0.0832279,0.1671919,653.02,2328,12,0,0
55008.5,69.209274,310.368153,220.8354,-0.1377742,0.1474325,610.97,3552,18,134,1
55008.5,69.209365,310.370224,232.639,-0.0734517,0.1925277,566.42,2044,63,52,2
55008.5,69.209456,310.372296,246.3085,0.0092018,0.163797,697.08,3728,2,-31,3
55008.5,69.209422,310.371519,241.7437,-0.0041912,0.1335565,724.42,2347,3,0,0
55008.75,69.208954,310.368278,223.6306,0.0174416,0.1957225,644.98,3543,20,133,1
55008.75,69.209045,310.370344,232.6711,-0.0143603,0.1622773,658.39,2195,2,51,2
55008.75,69.209136,310.37241,247.387,0.0680391,0.1411554,666.26,3729,0,-31,3
55008.75,69.209102,310.371631,241.9044,-0.003411,0.2166357,660.39,2373,0,0,0
55009,69.208635,310.368417,223.848,0.0682861,0.1484021,494.62,3577,6,132,1
55009,69.208726,310.370472,233.4965,0.0443952,0.1481798,607.95,2154,6,51,2
55009,69.208818,310.372527,245.7463,0.0434222,0.1371213,687.19,3745,8,-31,3
55009,69.208783,310.371743,241.0491,0.0293663,0.1505768,687.31,2376,7,0,0
55009.25,69.208314,310.368501,221.989,0.0981168,0.1683133,507.04,3521,12,133,1
55009.25,69.208406,310.370568,232.1526,0.1267534,0.1242153,546.87,2187,14,51,2
55009.25,69.208499,310.372634,244.4004,0.0545809,0.136505,713.39,3748,15,-31,3
55009.25,69.208464,310.371856,239.4131,0.1481249,0.1441532,676.49,2374,8,0,0
55009.5,69.207994,310.368614,220.7275,0.0288008,0.2187298,517.21,3566,4,133,1
55009.5,69.208087,310.370681,228.7052,0.0445111,0.0726245,598.55,2192,36,51,2
55009.5,69.20818,310.372748,243.8683,0.0440354,0.1800653,689.09,3782,30,-31,3
55009.5,69.208145,310.371969,237.0388,0.1081999,0.2357552,732.43,2341,35,0,0
55009.75,69.207675,310.368736,220.0791,0.054348,0.2101811,529.22,3577,5,133,1
55009.75,69.207769,310.370819,230.3698,-0.0242583,0.1081792,691.65,2226,11,50,2
55009.75,69.207863,310.372902,243.6126,0.0209409,0.1354697,692.23,3775,26,-33,3
55009.75,69.207826,310.372083,237.7433,-0.0514858,0.1944594,771.97,2365,7,0,0
55010,69.207356,310.368852,219.1636,0.0625605,0.2808652,622.54,3520,55,133,1
55010,69.20745,310.370934,231.0208,-0.0734168,0.1312457,696.16,2198,6,50,2
55010,69.207545,310.373016,245.1719,0.0130466,0.0240382,557.51,3715,128,-33,3
55010,69.207508,310.372198,239.3243,-0.1015932,0.2033782,713.67,2362,1,0,0
55010.25,69.207043,310.369103,222.12,-0.0023296,0.2429751,779.81,3682,12,128,1
55010.25,69.207136,310.371134,234.8054,-0.0718255,0.1683294,658.77,2147,9,47,2
55010.25,69.207229,310.373164,244.754,0.0233299,0.0290611,575.1,3786,16,-34,3
55010.25,69.20719,310.372313,242.1716,-0.0061083,0.0857116,664.57,2335,30,0,0
55010.5,69.206724,310.369219,224.0843,-0.0933606,0.2470644,742.28,3620,24,128,1
55010.5,69.206817,310.371249,238.2825,-0.0282572,0.2201894,527.9,2187,5,47,2
55010.5,69.206911,310.373279,245.2851,-0.0308078,0.0057364,528.55,3759,48,-34,3
55010.5,69.206872,310.372429,244.5571,-0.0061854,0.0163147,545.11,2387,5,0,0
55010.75,69.206406,310.369338,227.008,-0.0904295,0.2362716,796.73,3582,2,128,1
55010.75,69.2065,310.371372,239.1566,-0.0083959,0.164987,532.54,2197,10,47,2
55010.75,69.206594,310.373405,246.584,-0.0532321,0.0315072,599.28,3802,4,-34,3
55010.75,69.206554,310.372545,244.9009,-0.0251723,0.0687743,605.99,2399,1,0,0
55011,69.206095,310.369621,231.9281,-0.0355877,0.1666752,656.11,3672,24,121,1
55011,69.206186,310.371588,241.7187,-0.0175895,0.1539267,565.12,2094,42,43,2
55011,69.206278,310.373555,247.9548,-0.0500892,-0.0013454,671.54,3689,0,-36,3
55011,69.206236,310.372661,247.042,-0.0945377,0.063643,650.98,2372,0,0,0
55011.25,69.205777,310.369743,233.3942,0.0012453,0.1957909,676.59,3597,3,121,1
55011.25,69.205869,310.371716,246.6538,-0.1062287,0.1866177,733.42,2202,0,42,2
55011.25,69.205961,310.37369,249.0288,0.0008847,-0.0182985,652.15,3670,11,-36,3
55011.25,69.205919,310.372779,249.7252,-0.0490593,-0.0176348,811.3,2414,1,0,0
55011.5,69.205461,310.369893,234.9283,-0.009631,0.1916324,657.32,3538,5,120,1
55011.5,69.205649,310.373899,248.3906,0.0557866,0.0018041,654.85,3611,1,-40,3
55011.5,69.205602,310.372896,248.0186,0.0653508,0.0048134,937.45,2398,0,0,0
55011.75,69.205148,310.370095,237.4261,-0.0144915,0.1747765,630.86,3545,21,116,1
55011.75,69.205241,310.37207,245.2197,0.1577898,0.0220434,969.95,2243,0,38,2
55011.75,69.205333,310.374044,245.5571,0.0652662,0.1108438,695.29,3531,16,-41,3
55011.75,69.205285,310.373014,244.8573,0.1810343,-0.0857201,773.49,2359,0,0,0
55012,69.20483,310.370214,235.2078,0.0709205,0.1706683,777.37,3516,0,116,1
55012,69.204924,310.372188,242.2086,0.2043266,-0.0104333,779.55,2214,0,38,2
55012,69.205017,310.374162,243.3373,0.084595,0.1818431,631.25,3578,7,-41,3
55012,69.204968,310.373133,241.0106,0.1274463,-0.0825062,817.55,2343,0,0,0
55012.25,69.204513,310.370333,232.8417,0.159212,0.0979595,642.06,3476,36,116,1
55012.25,69.204607,310.372307,236.4158,0.0595521,-0.0325086,703.64,2233,0,38,2
55012.25,69.204701,310.374281,242.3249,0.0447501,0.2091391,597.67,3605,8,-41,3
55012.25,69.204652,310.373251,236.6877,0.0535777,0.0478174,653.51,2341,3,0,0
55012.5,69.204202,310.370565,229.545,0.1537697,0.097066,670.2,3587,37,112,1
55012.5,69.204295,310.372522,234.4387,0.0178807,0.0728341,558.95,2113,40,34,2
55012.5,69.204388,310.37448,242.6244,0.0056116,0.1984101,613.38,3530,4,-44,3
55012.5,69.204336,310.373371,236.4651,-0.0362559,0.0795163,671.57,2277,10,0,0
55012.75,69.203886,310.370689,226.4261,0.0372143,0.1393049,616.14,3590,15,112,1
55012.75,69.20398,310.372656,233.9107,0.0772124,0.1158726,595.39,2072,25,33,2
55012.75,69.204074,310.374623,241.9531,0.0512177,0.0887927,708.89,3572,10,-45,3
55012.75,69.20402,310.37349,237.0412,0.0140718,0.1180879,737.04,2266,3,0,0
55013,69.20357,310.370815,225.0223,0.0446736,0.1495267,635.38,3575,10,111,1
55013,69.203665,310.372794,232.0753,0.0640627,0.1022805,595.22,2166,21,33,2
55013,69.20376,310.374772,240.4443,0.1079874,0.0707531,676.8,3566,16,-46,3
55013,69.203704,310.37361,235.2662,0.0596697,0.1103613,731.33,2280,7,0,0
55013.25,69.203254,310.370936,223.5041,0.0519828,0.1156008,619.77,3539,22,111,1
55013.25,69.203349,310.372914,230.6388,0.0718712,0.118617,596.28,2111,6,33,2
55013.25,69.203445,310.374892,239.2263,0.0619871,0.0315656,792.03,3618,1,-46,3
55013.25,69.203389,310.373731,234.8115,0.0949149,0.135329,750.83,2245,0,0,0
55013.5,69.202939,310.371076,222.6049,0.0445892,0.0660863,568.15,3566,2,111,1
55013.5,69.203035,310.373059,229.7943,0.0409311,0.1282264,595.76,2112,4,32,2
55013.5,69.203131,310.375042,237.3838,-0.0032625,0.0651996,755.59,3621,14,-47,3
55013.5,69.203073,310.373852,233.4185,0.0380004,0.1138236,697.05,2257,2,0,0
55013.75,69.202625,310.371223,220.7264,0.0215829,0.0397232,504.86,3560,7,110,1
55013.75,69.202724,310.373257,229.6464,0.0286622,0.1350928,559.23,2252,6,29,2
55013.75,69.202823,310.375291,238.1589,-0.0135961,0.0942486,720.38,3518,3,-53,3
55013.75,69.202759,310.373973,232.7772,-0.0080537,0.105734,631.31,2282,0,0,0
55014,69.202314,310.371419,220.2147,0.0441446,0.0717956,448.31,3582,29,107,1
55014,69.202412,310.373427,229.8158,0.0151176,0.1432099,505.71,2154,3,27,2
55014,69.20251,310.375434,237.8065,0.0513724,0.033699,710.53,3515,5,-53,3
55014,69.202444,310.374094,233.1152,0.0247827,0.1380677,549.21,2226,3,0,0
55014.25,69.202004,310.371643,219.798,0.0559045,0.0927518,412.15,3640,28,103,1
55014.25,69.202101,310.373619,229.6161,0.0583351,0.1424869,444.21,2133,0,24,2
55014.25,69.202198,310.375595,236.0382,0.0892987,0.0130579,582.6,3476,17,-55,3
55014.25,69.20213,310.374216,232.216,0.0673688,0.1143246,444.6,2202,0,0,0
55014.5,69.201693,310.371817,218.7739,0.0316281,0.0928548,372.79,3666,33,100,1
55014.5,69.20179,310.373797,227.8772,0.0823292,0.1213818,422.33,2172,1,22,2
55014.5,69.201887,310.375778,233.6697,0.1004843,-0.0027536,493.96,3464,17,-57,3
55014.5,69.201816,310.374338,230.1373,0.0859898,0.1086729,409.89,2214,0,0,0
55014.75,69.201381,310.371964,218.7444,-0.0009769,0.0674482,427.21,3684,30,99,1
55014.75,69.201477,310.373934,226.8697,0.054712,0.1028097,411.32,2094,0,21,2
55014.75,69.201574,310.375904,231.4703,0.0249269,0.0127985,455.27,3520,5,-58,3
55014.75,69.201503,310.374459,228.695,0.0579739,0.0929267,398.53,2183,0,0,0
55015,69.201069,310.372118,219.0632,-0.0399663,0.0114552,386.24,3663,29,98,1
55015,69.201167,310.374109,225.0739,0.042571,0.0536925,459.44,2151,0,19,2
55015,69.201265,310.376101,229.7035,0.0398371,0.0377781,436.08,3489,4,-61,3
55015,69.20119,310.374581,226.2479,0.0622634,0.0715815,427.4,2177,0,0,0
55015.25,69.20076,310.372305,219.4964,-0.0273506,-0.0160153,354.3,3677,42,96,1
55015.25,69.200857,310.374295,223.2525,0.0574334,0.029625,428.7,2163,0,16,2
55015.25,69.200955,310.376285,228.1171,0.0596786,0.0536058,436.46,3475,3,-63,3
55015.25,69.200877,310.374702,224.0651,0.0699915,0.0336188,403.87,2206,0,0,0
55015.5,69.20045,310.37247,218.7614,0.0362645,-0.0423907,416.47,3673,68,94,1
55015.5,69.200548,310.374467,222.1327,0.0721438,0.0328307,404.08,2105,0,14,2
55015.5,69.200645,310.376464,226.792,0.0865237,0.0602967,425.82,3480,0,-65,3
55015.5,69.200565,310.374823,222.845,0.0664926,0.0295692,398.76,2135,1,0,0
55015.75,69.200143,310.372673,218.771,0.0407284,-0.0058315,419.01,3730,65,90,1
55015.75,69.200241,310.374684,221.6164,-0.0071306,0.0393527,403.31,2185,7,10,2
55015.75,69.200338,310.376695,225.0125,0.0408401,0.0319332,449.15,3407,0,-70,3
55015.75,69.200253,310.374944,222.1265,-0.0160042,0.0288414,382.45,2164,8,0,0
55016,69.199832,310.372805,217.8084,0.0167862,0.0408014,462.4,3779,6,90,1
55016,69.199931,310.374839,221.6055,-0.0144782,0.0764662,357.95,2167,24,9,2
55016,69.200029,310.376873,223.5363,0.0454934,-0.0149702,467.43,3430,0,-72,3
55016,69.199942,310.375064,222.3336,-0.0239349,0.0421617,357.53,2141,23,0,0
55016.25,69.199522,310.372932,216.4989,-0.0087021,0.0187441,478.02,3763,1,90,1
55016.25,69.199621,310.374983,220.8737,0.0528807,0.0561327,429.62,2162,7,8,2
55016.25,69.19972,310.377034,221.9552,0.0494378,-0.0244604,475.94,3432,2,-74,3
55016.25,69.199631,310.375183,221.4292,0.0506112,0.0247269,436.97,2111,8,0,0
55016.5,69.199218,310.373183,216.2546,0.0484748,0.0025606,435.38,3834,4,84,1
55016.5,69.199315,310.375202,220.0364,0.0835934,0.0287621,409.37,2160,9,4,2
55016.5,69.199412,310.37722,220.7315,0.0473716,-0.0549368,508.83,3373,1,-76,3
55016.5,69.19932,310.375302,220.2703,0.0839932,0.0171722,411.32,2145,10,0,0
55016.75,69.198909,310.373324,215.8191,0.0064058,-0.0095547,490.06,3822,6,84,1
55016.75,69.199005,310.375335,217.6704,0.0656549,0.0302054,444.03,2108,6,3,2
55016.75,69.199102,310.377346,218.366,0.0490418,-0.0361184,497.38,3431,1,-77,3
55016.75,69.19901,310.375421,217.7455,0.0684499,0.0275521,446.33,2104,6,0,0
55017,69.198599,310.373444,214.4599,0.012611,-0.0231944,511.79,3811,10,83,1
55017,69.198696,310.375457,214.9039,0.0489318,0.0413463,440.48,2133,5,3,2
55017,69.198793,310.37747,216.8558,0.052149,-0.0112135,469.59,3491,3,-77,3
55017,69.1987,310.375539,215.0248,0.047614,0.0451026,434.22,2124,6,0,0
55017.25,69.198292,310.373612,213.4596,0.0387627,-0.0030709,511.4,3853,7,81,1
55017.25,69.198389,310.375629,213.302,0.0704035,0.034235,452.21,2126,10,1,2
55017.25,69.198486,310.377647,215.1597,0.056693,-0.0402497,448.01,3462,8,-79,3
55017.25,69.19839,310.375657,213.3556,0.0701255,0.0364018,446.26,2120,11,0,0
55017.5,69.197981,310.373687,212.8147,0.0803394,0.0243746,462.73,3759,31,83,1
55017.5,69.198079,310.375722,211.2819,0.0591836,0.0139587,465.01,2112,12,2,2
55017.5,69.198177,310.377757,212.7269,0.0491777,-0.0106151,391.37,3488,36,-79,3
55017.5,69.198081,310.375774,211.2959,0.0619873,0.0224023,453.97,2071,16,0,0
